season,team,season_start_year,season_idx,split,points,goal_diff,matches,goals_for,goals_against,points_per_match,gd_per_match,xg_league,xga_league,xgd_league,xgd_per_match,xg_squad,xg_per_match_squad
2022-23,Liverpool,2022,5,train,67,28,38,75,47,1.763157894736842,0.7368421052631579,71.5,50.8,20.700000000000003,0.5447368421052632,71.5,1.881578947368421
2022-23,Manchester City,2022,5,train,89,61,38,94,33,2.3421052631578947,1.605263157894737,78.6,32.1,46.49999999999999,1.2236842105263157,78.6,2.068421052631579
2022-23,Manchester Utd,2022,5,train,75,15,38,58,43,1.9736842105263157,0.39473684210526316,67.7,50.4,17.300000000000004,0.455263157894737,67.7,1.7815789473684212
2022-23,Newcastle Utd,2022,5,train,71,35,38,68,33,1.868421052631579,0.9210526315789473,71.9,39.5,32.400000000000006,0.8526315789473685,71.9,1.892105263157895
2022-23,Nott'ham Forest,2022,5,train,38,-30,38,38,68,1.0,-0.7894736842105263,39.3,64.2,-24.900000000000006,-0.655263157894737,39.3,1.0342105263157895
2022-23,Southampton,2022,5,train,25,-37,38,36,73,0.6578947368421053,-0.9736842105263158,37.8,60.8,-23.0,-0.6052631578947368,37.8,0.994736842105263
2022-23,Tottenham,2022,5,train,60,7,38,70,63,1.5789473684210527,0.18421052631578946,57.0,49.6,7.399999999999999,0.19473684210526312,57.0,1.5
2022-23,West Ham,2022,5,train,40,-13,38,42,55,1.0526315789473684,-0.34210526315789475,49.2,53.0,-3.799999999999997,-0.09999999999999992,49.2,1.2947368421052632
2022-23,Wolves,2022,5,train,41,-27,38,31,58,1.0789473684210527,-0.7105263157894737,36.8,59.9,-23.1,-0.6078947368421053,36.8,0.9684210526315788
2023-24,Arsenal,2023,6,test,89,62,38,91,29,2.3421052631578947,1.631578947368421,76.1,27.9,48.199999999999996,1.268421052631579,76.1,2.0026315789473683
2023-24,Aston Villa,2023,6,test,68,15,38,76,61,1.7894736842105263,0.39473684210526316,63.3,59.9,3.3999999999999986,0.08947368421052627,63.3,1.6657894736842105
2023-24,Bournemouth,2023,6,test,48,-13,38,54,67,1.263157894736842,-0.34210526315789475,55.9,58.1,-2.200000000000003,-0.05789473684210534,55.9,1.4710526315789474
2023-24,Brentford,2023,6,test,39,-9,38,56,65,1.0263157894736843,-0.23684210526315788,58.2,56.0,2.200000000000003,0.05789473684210534,58.2,1.5315789473684212
2023-24,Brighton,2023,6,test,48,-7,38,55,62,1.263157894736842,-0.18421052631578946,56.8,55.4,1.3999999999999986,0.03684210526315786,56.8,1.4947368421052631
2023-24,Burnley,2023,6,test,24,-37,38,41,78,0.631578947368421,-0.9736842105263158,40.6,70.4,-29.800000000000004,-0.7842105263157896,40.6,1.068421052631579
2023-24,Chelsea,2023,6,test,63,14,38,77,63,1.6578947368421053,0.3684210526315789,74.5,58.1,16.4,0.431578947368421,74.5,1.9605263157894737
2023-24,Crystal Palace,2023,6,test,49,-1,38,57,58,1.2894736842105263,-0.02631578947368421,48.6,52.0,-3.3999999999999986,-0.08947368421052627,48.6,1.2789473684210526
2023-24,Everton,2023,6,test,40,-11,38,40,51,1.0526315789473684,-0.2894736842105263,54.0,55.2,-1.2000000000000028,-0.03157894736842113,54.0,1.4210526315789473
2023-24,Fulham,2023,6,test,47,-6,38,55,61,1.236842105263158,-0.15789473684210525,50.8,62.9,-12.100000000000001,-0.318421052631579,50.8,1.3368421052631578
2023-24,Liverpool,2023,6,test,82,45,38,86,41,2.1578947368421053,1.1842105263157894,87.8,45.7,42.099999999999994,1.107894736842105,87.8,2.3105263157894735
2023-24,Luton Town,2023,6,test,26,-33,38,52,85,0.6842105263157895,-0.868421052631579,42.4,78.0,-35.6,-0.9368421052631579,42.4,1.1157894736842104
2023-24,Manchester City,2023,6,test,91,62,38,96,34,2.3947368421052633,1.631578947368421,80.5,35.6,44.9,1.181578947368421,80.5,2.1184210526315788
2023-24,Manchester Utd,2023,6,test,60,-1,38,57,58,1.5789473684210527,-0.02631578947368421,56.5,68.9,-12.400000000000006,-0.32631578947368434,56.5,1.486842105263158
2023-24,Newcastle Utd,2023,6,test,60,23,38,85,62,1.5789473684210527,0.6052631578947368,76.0,61.4,14.600000000000001,0.3842105263157895,76.0,2.0
2023-24,Nott'ham Forest,2023,6,test,32,-18,38,49,67,0.8421052631578947,-0.47368421052631576,49.9,53.3,-3.3999999999999986,-0.08947368421052627,49.9,1.313157894736842
2023-24,Sheffield Utd,2023,6,test,16,-69,38,35,104,0.42105263157894735,-1.8157894736842106,38.3,76.6,-38.3,-1.0078947368421052,38.3,1.0078947368421052
2023-24,Tottenham,2023,6,test,66,13,38,74,61,1.736842105263158,0.34210526315789475,68.2,63.4,4.800000000000004,0.12631578947368433,68.2,1.7947368421052632
2023-24,West Ham,2023,6,test,52,-14,38,60,74,1.368421052631579,-0.3684210526315789,52.3,71.1,-18.799999999999997,-0.4947368421052631,52.3,1.3763157894736842
